,count,mean,std,min,25%,50%,75%,max
Quantity_Ordered,1000.0,504.288,295.54545534007485,10.0,248.0,499.0,760.5,999.0
Order_Value_USD,1000.0,25290.073669999998,14380.329640844015,500.58,12891.8375,25596.005,37574.43,49945.18
Delay_Days,1000.0,1.943,2.852698527515463,0.0,0.0,1.0,3.0,10.0
Historical_Disruption_Count,1000.0,9.841,5.656652430255612,0.0,5.0,10.0,15.0,19.0
Supplier_Reliability_Score,1000.0,0.74576,0.143063235981469,0.5,0.62,0.74,0.87,1.0
Dominant_Buyer_Flag,1000.0,0.286,0.45211548127487106,0.0,0.0,0.0,1.0,1.0
Available_Historical_Records,1000.0,510.317,281.7007771356672,10.0,262.75,521.5,752.0,998.0
Data_Sharing_Consent,1000.0,0.805,0.39639895576569345,0.0,1.0,1.0,1.0,1.0
Federated_Round,1000.0,5.679,2.8649899069921987,1.0,3.0,6.0,8.0,10.0
Parameter_Change_Magnitude,1000.0,0.2510964,0.13956782840528031,0.0113,0.131975,0.25505,0.36955,0.4998
Communication_Cost_MB,1000.0,2.76876,1.2752252592627948,0.5,1.74,2.76,3.8225,5.0
Energy_Consumption_Joules,1000.0,270.85508999999996,130.21849456324634,50.49,163.5975,268.37,383.835,499.84
Supply_Risk_Flag,1000.0,0.514,0.5000540511325292,0.0,0.0,1.0,1.0,1.0
