Column,Missing_Values
Order_ID,0
Buyer_ID,0
Supplier_ID,0
Product_Category,0
Quantity_Ordered,0
Order_Date,0
Dispatch_Date,0
Delivery_Date,0
Shipping_Mode,0
Order_Value_USD,0
Delay_Days,0
Disruption_Type,486
Disruption_Severity,486
Historical_Disruption_Count,0
Supplier_Reliability_Score,0
Organization_ID,0
Dominant_Buyer_Flag,0
Available_Historical_Records,0
Data_Sharing_Consent,0
Federated_Round,0
Parameter_Change_Magnitude,0
Communication_Cost_MB,0
Energy_Consumption_Joules,0
Supply_Risk_Flag,0
